usefulCount,sideEffects,rating
9,Mild Side Effects,1
14,No Side Effects,5
36,No Side Effects,4
10,Mild Side Effects,5
3,Mild Side Effects,5
73,Mild Side Effects,5
63,Extremely Severe Side Effects,5
11,No Side Effects,5
40,Mild Side Effects,1
37,Moderate Side Effects,4
5,Mild Side Effects,5
15,Mild Side Effects,4
19,Extremely Severe Side Effects,5
58,Moderate Side Effects,5
150,Severe Side Effects,5
101,No Side Effects,5
70,Mild Side Effects,5
117,Extremely Severe Side Effects,5
14,Severe Side Effects,2
11,Extremely Severe Side Effects,1
1,Extremely Severe Side Effects,1
6,Moderate Side Effects,5
15,No Side Effects,4
21,Moderate Side Effects,1
59,Mild Side Effects,5
10,Mild Side Effects,5
16,Severe Side Effects,2
0,Mild Side Effects,1
14,Severe Side Effects,2
2,No Side Effects,2
5,No Side Effects,1
16,Mild Side Effects,5
470,Moderate Side Effects,1
20,Severe Side Effects,4
30,No Side Effects,5
38,Moderate Side Effects,4
8,Mild Side Effects,4
61,Severe Side Effects,5
2,Mild Side Effects,1
157,No Side Effects,1
0,Moderate Side Effects,5
58,No Side Effects,5
86,Mild Side Effects,5
12,Mild Side Effects,2
3,Mild Side Effects,1
26,Mild Side Effects,5
0,Severe Side Effects,2
11,Moderate Side Effects,1
12,Mild Side Effects,5
15,Severe Side Effects,5
5,Mild Side Effects,4
2,Moderate Side Effects,5
2,Moderate Side Effects,4
0,Mild Side Effects,3
69,Extremely Severe Side Effects,5
20,Extremely Severe Side Effects,4
68,Severe Side Effects,5
48,Moderate Side Effects,5
30,Mild Side Effects,5
51,Moderate Side Effects,5
21,Mild Side Effects,2
5,No Side Effects,5
8,Mild Side Effects,1
38,No Side Effects,5
4,No Side Effects,5
62,No Side Effects,4
28,No Side Effects,5
145,No Side Effects,5
84,No Side Effects,5
5,Mild Side Effects,5
9,No Side Effects,1
15,Mild Side Effects,5
24,Moderate Side Effects,5
31,Mild Side Effects,5
1,No Side Effects,4
3,Mild Side Effects,2
32,No Side Effects,5
66,Severe Side Effects,5
12,Moderate Side Effects,1
20,No Side Effects,2
9,No Side Effects,4
15,Severe Side Effects,3
16,Moderate Side Effects,5
35,Severe Side Effects,3
35,Mild Side Effects,5
5,Severe Side Effects,5
10,Extremely Severe Side Effects,2
22,No Side Effects,4
8,No Side Effects,2
4,Mild Side Effects,1
0,Mild Side Effects,4
20,Mild Side Effects,5
0,Mild Side Effects,3
4,Severe Side Effects,5
27,Mild Side Effects,5
28,No Side Effects,4
6,Moderate Side Effects,1
6,Mild Side Effects,5
42,Mild Side Effects,5
13,Moderate Side Effects,4
50,Moderate Side Effects,5
13,Severe Side Effects,5
13,Moderate Side Effects,5
6,Mild Side Effects,1
2,No Side Effects,1
16,Mild Side Effects,1
6,Mild Side Effects,4
32,Mild Side Effects,1
22,Extremely Severe Side Effects,3
5,Mild Side Effects,1
206,No Side Effects,5
14,Mild Side Effects,5
4,Mild Side Effects,1
3,Mild Side Effects,1
10,No Side Effects,5
44,Mild Side Effects,5
77,Mild Side Effects,5
24,Mild Side Effects,5
5,Mild Side Effects,5
42,No Side Effects,5
46,Mild Side Effects,5
0,Mild Side Effects,5
2,No Side Effects,5
8,Mild Side Effects,4
8,No Side Effects,1
4,Severe Side Effects,1
25,Severe Side Effects,4
9,Mild Side Effects,4
3,No Side Effects,1
12,Extremely Severe Side Effects,4
7,Mild Side Effects,2
76,Severe Side Effects,5
18,No Side Effects,1
7,Mild Side Effects,4
4,No Side Effects,4
44,Moderate Side Effects,5
11,Mild Side Effects,5
113,No Side Effects,5
4,No Side Effects,1
12,Mild Side Effects,5
6,No Side Effects,1
48,Moderate Side Effects,4
73,No Side Effects,5
283,Mild Side Effects,3
62,No Side Effects,2
17,Mild Side Effects,4
10,Mild Side Effects,1
89,No Side Effects,1
28,Moderate Side Effects,5
1,Moderate Side Effects,3
59,Mild Side Effects,5
32,Mild Side Effects,5
7,Mild Side Effects,4
46,Moderate Side Effects,1
5,Mild Side Effects,3
90,No Side Effects,4
7,Mild Side Effects,4
17,No Side Effects,2
199,No Side Effects,5
8,No Side Effects,5
4,Severe Side Effects,5
27,Mild Side Effects,4
67,Severe Side Effects,2
1,Mild Side Effects,1
182,Severe Side Effects,5
9,No Side Effects,5
31,No Side Effects,5
23,Extremely Severe Side Effects,5
2,No Side Effects,1
91,No Side Effects,5
0,Moderate Side Effects,1
13,No Side Effects,5
16,Mild Side Effects,3
3,Mild Side Effects,1
212,Mild Side Effects,5
6,No Side Effects,5
134,Moderate Side Effects,5
11,Severe Side Effects,2
28,No Side Effects,2
36,Moderate Side Effects,5
5,Extremely Severe Side Effects,1
3,No Side Effects,3
11,Severe Side Effects,3
11,Mild Side Effects,4
2,Mild Side Effects,4
38,No Side Effects,4
9,Mild Side Effects,5
1,No Side Effects,3
46,Mild Side Effects,5
5,Moderate Side Effects,5
6,Moderate Side Effects,1
3,No Side Effects,5
4,No Side Effects,4
19,Moderate Side Effects,2
5,Severe Side Effects,4
4,Moderate Side Effects,3
6,Mild Side Effects,5
1,No Side Effects,1
12,Mild Side Effects,5
0,No Side Effects,5
15,No Side Effects,4
11,Mild Side Effects,1
36,No Side Effects,5
9,No Side Effects,1
121,Moderate Side Effects,5
34,Moderate Side Effects,5
13,No Side Effects,5
73,Mild Side Effects,4
10,Mild Side Effects,5
13,Severe Side Effects,3
10,Severe Side Effects,5
8,Mild Side Effects,3
1,Mild Side Effects,5
7,Mild Side Effects,5
75,No Side Effects,2
14,Mild Side Effects,3
57,Severe Side Effects,5
12,Severe Side Effects,5
19,Mild Side Effects,4
24,No Side Effects,2
4,No Side Effects,3
75,Mild Side Effects,5
19,No Side Effects,3
9,Mild Side Effects,4
5,Severe Side Effects,4
101,Extremely Severe Side Effects,5
124,Moderate Side Effects,5
69,Severe Side Effects,5
30,Extremely Severe Side Effects,5
6,Mild Side Effects,2
29,Severe Side Effects,4
0,No Side Effects,5
32,No Side Effects,2
4,No Side Effects,1
20,Severe Side Effects,1
6,No Side Effects,5
49,Mild Side Effects,4
36,No Side Effects,5
80,No Side Effects,5
57,Mild Side Effects,3
193,Moderate Side Effects,5
25,No Side Effects,1
1,Mild Side Effects,1
32,Moderate Side Effects,4
35,Severe Side Effects,2
30,No Side Effects,5
38,Severe Side Effects,5
23,No Side Effects,5
34,Moderate Side Effects,5
5,Moderate Side Effects,5
5,Severe Side Effects,5
12,No Side Effects,1
13,Moderate Side Effects,5
0,Mild Side Effects,5
5,Mild Side Effects,3
9,No Side Effects,5
38,Mild Side Effects,4
29,Severe Side Effects,4
0,Moderate Side Effects,5
30,Mild Side Effects,1
44,Moderate Side Effects,5
15,Extremely Severe Side Effects,5
41,Moderate Side Effects,4
61,Mild Side Effects,5
16,Mild Side Effects,4
18,Mild Side Effects,5
18,Mild Side Effects,5
5,Mild Side Effects,5
26,Mild Side Effects,5
48,No Side Effects,5
33,No Side Effects,4
7,Moderate Side Effects,1
15,No Side Effects,5
4,Mild Side Effects,2
0,Mild Side Effects,5
1,Extremely Severe Side Effects,4
126,Extremely Severe Side Effects,1
4,Mild Side Effects,1
3,Moderate Side Effects,1
0,Mild Side Effects,1
8,Severe Side Effects,1
7,Mild Side Effects,5
62,Severe Side Effects,2
67,Moderate Side Effects,5
11,Moderate Side Effects,5
3,Severe Side Effects,2
25,Mild Side Effects,4
12,Mild Side Effects,5
23,Mild Side Effects,1
1,Moderate Side Effects,5
12,Mild Side Effects,5
32,Severe Side Effects,1
5,Mild Side Effects,1
48,Mild Side Effects,4
7,Mild Side Effects,4
55,No Side Effects,5
11,Moderate Side Effects,1
27,No Side Effects,3
5,Mild Side Effects,3
7,Mild Side Effects,3
4,Moderate Side Effects,3
76,Moderate Side Effects,5
7,Severe Side Effects,4
12,No Side Effects,5
22,Mild Side Effects,5
1,Mild Side Effects,5
0,Mild Side Effects,5
24,Mild Side Effects,5
5,Mild Side Effects,1
7,Mild Side Effects,4
1,Moderate Side Effects,5
36,No Side Effects,4
8,No Side Effects,1
2,Severe Side Effects,2
5,No Side Effects,1
163,Severe Side Effects,5
0,No Side Effects,5
101,Extremely Severe Side Effects,5
0,No Side Effects,2
19,No Side Effects,5
39,Mild Side Effects,4
9,No Side Effects,5
24,Extremely Severe Side Effects,5
19,Mild Side Effects,2
0,Moderate Side Effects,5
50,Mild Side Effects,5
2,Mild Side Effects,4
58,No Side Effects,5
12,Moderate Side Effects,3
4,Moderate Side Effects,5
37,Mild Side Effects,5
104,No Side Effects,5
18,No Side Effects,4
0,Mild Side Effects,1
5,Extremely Severe Side Effects,1
30,Moderate Side Effects,5
10,No Side Effects,4
25,No Side Effects,5
8,Mild Side Effects,5
4,No Side Effects,5
11,No Side Effects,5
21,Severe Side Effects,4
81,Mild Side Effects,5
3,Severe Side Effects,5
16,Mild Side Effects,3
9,No Side Effects,5
88,Moderate Side Effects,5
70,Mild Side Effects,5
11,Mild Side Effects,3
43,Mild Side Effects,4
13,Mild Side Effects,5
6,No Side Effects,4
40,No Side Effects,5
3,No Side Effects,5
25,No Side Effects,4
34,Mild Side Effects,5
32,No Side Effects,4
43,Mild Side Effects,5
64,Severe Side Effects,5
9,No Side Effects,5
114,Mild Side Effects,5
3,Mild Side Effects,1
6,No Side Effects,4
3,Mild Side Effects,3
12,Mild Side Effects,5
63,No Side Effects,5
4,No Side Effects,3
15,Moderate Side Effects,4
2,No Side Effects,5
154,Mild Side Effects,5
117,No Side Effects,5
44,Moderate Side Effects,1
54,Severe Side Effects,5
31,Mild Side Effects,5
1,Mild Side Effects,2
54,Severe Side Effects,5
113,No Side Effects,5
25,Mild Side Effects,5
108,Mild Side Effects,5
39,Mild Side Effects,5
16,No Side Effects,1
33,Mild Side Effects,4
8,No Side Effects,5
30,Moderate Side Effects,5
8,Mild Side Effects,5
5,Mild Side Effects,5
8,No Side Effects,5
41,Mild Side Effects,5
17,Mild Side Effects,2
1,No Side Effects,4
14,No Side Effects,5
6,Moderate Side Effects,1
152,No Side Effects,5
20,Extremely Severe Side Effects,4
13,No Side Effects,5
65,Moderate Side Effects,5
3,Severe Side Effects,5
11,Moderate Side Effects,4
27,No Side Effects,5
22,No Side Effects,5
23,Moderate Side Effects,5
191,Mild Side Effects,3
18,No Side Effects,5
44,No Side Effects,5
9,No Side Effects,4
10,No Side Effects,3
29,Moderate Side Effects,5
66,Moderate Side Effects,5
85,No Side Effects,5
154,Mild Side Effects,5
2,Severe Side Effects,5
116,No Side Effects,5
30,Extremely Severe Side Effects,5
33,Mild Side Effects,5
16,Mild Side Effects,5
1,Mild Side Effects,2
0,Mild Side Effects,5
14,Mild Side Effects,3
18,No Side Effects,5
69,Extremely Severe Side Effects,5
7,Mild Side Effects,5
19,Mild Side Effects,3
46,Severe Side Effects,5
0,Moderate Side Effects,1
1,Severe Side Effects,4
17,Extremely Severe Side Effects,1
12,Mild Side Effects,5
0,Moderate Side Effects,5
3,No Side Effects,5
4,Mild Side Effects,5
43,Extremely Severe Side Effects,5
22,No Side Effects,5
4,Extremely Severe Side Effects,3
17,Mild Side Effects,5
39,Severe Side Effects,2
9,Mild Side Effects,5
3,Extremely Severe Side Effects,1
38,No Side Effects,5
1,Mild Side Effects,5
9,Extremely Severe Side Effects,5
21,Mild Side Effects,2
16,Mild Side Effects,5
0,Mild Side Effects,2
10,No Side Effects,1
52,Moderate Side Effects,4
12,Mild Side Effects,5
11,Severe Side Effects,5
47,No Side Effects,5
64,Mild Side Effects,5
381,Moderate Side Effects,5
18,Mild Side Effects,1
16,Mild Side Effects,5
63,Mild Side Effects,5
23,Mild Side Effects,2
29,Mild Side Effects,4
11,Moderate Side Effects,4
10,Mild Side Effects,1
3,No Side Effects,1
14,Mild Side Effects,5
5,Moderate Side Effects,5
12,Mild Side Effects,5
22,Severe Side Effects,5
3,No Side Effects,1
62,Moderate Side Effects,5
5,Extremely Severe Side Effects,5
5,Mild Side Effects,2
2,No Side Effects,4
43,Mild Side Effects,5
10,Severe Side Effects,2
61,No Side Effects,5
66,No Side Effects,5
23,Moderate Side Effects,4
42,Moderate Side Effects,5
16,Severe Side Effects,5
7,Mild Side Effects,3
14,Moderate Side Effects,5
7,Extremely Severe Side Effects,4
5,Moderate Side Effects,5
11,Mild Side Effects,5
22,No Side Effects,5
4,Mild Side Effects,5
2,No Side Effects,2
7,Mild Side Effects,5
28,No Side Effects,5
49,No Side Effects,4
3,Severe Side Effects,5
82,Moderate Side Effects,2
4,Severe Side Effects,5
5,Severe Side Effects,1
5,Mild Side Effects,4
2,No Side Effects,1
16,No Side Effects,4
13,No Side Effects,5
3,Moderate Side Effects,1
11,Moderate Side Effects,3
19,No Side Effects,5
34,No Side Effects,1
109,Extremely Severe Side Effects,4
27,Moderate Side Effects,5
24,No Side Effects,5
69,Severe Side Effects,5
9,Moderate Side Effects,4
12,Extremely Severe Side Effects,5
52,Moderate Side Effects,4
3,No Side Effects,3
12,Extremely Severe Side Effects,4
9,Moderate Side Effects,5
6,Mild Side Effects,5
22,No Side Effects,5
110,Mild Side Effects,5
2,No Side Effects,4
8,Mild Side Effects,1
55,Moderate Side Effects,4
5,No Side Effects,5
3,Mild Side Effects,5
11,Moderate Side Effects,3
11,Mild Side Effects,4
9,No Side Effects,5
49,Extremely Severe Side Effects,4
55,Moderate Side Effects,3
0,Mild Side Effects,1
0,Mild Side Effects,4
9,Severe Side Effects,5
4,Mild Side Effects,3
15,Mild Side Effects,5
62,Mild Side Effects,5
71,Moderate Side Effects,5
2,Moderate Side Effects,1
10,Mild Side Effects,5
43,Mild Side Effects,5
21,No Side Effects,3
107,Mild Side Effects,5
36,No Side Effects,5
2,No Side Effects,1
5,Mild Side Effects,5
63,Severe Side Effects,5
27,Mild Side Effects,5
19,Moderate Side Effects,5
8,No Side Effects,4
17,No Side Effects,5
7,Mild Side Effects,5
42,Moderate Side Effects,5
29,Extremely Severe Side Effects,5
13,No Side Effects,2
42,Mild Side Effects,4
81,Mild Side Effects,5
6,Moderate Side Effects,3
28,No Side Effects,3
73,Moderate Side Effects,5
11,Moderate Side Effects,4
19,Mild Side Effects,5
6,Mild Side Effects,5
49,No Side Effects,5
33,No Side Effects,5
44,No Side Effects,4
96,No Side Effects,4
14,Mild Side Effects,1
6,No Side Effects,5
37,Severe Side Effects,5
5,Mild Side Effects,5
31,Mild Side Effects,1
55,Mild Side Effects,1
59,Mild Side Effects,5
38,No Side Effects,5
8,Moderate Side Effects,4
36,Mild Side Effects,2
9,Severe Side Effects,1
98,Severe Side Effects,1
17,Extremely Severe Side Effects,5
68,Moderate Side Effects,1
32,Mild Side Effects,5
19,Moderate Side Effects,4
15,Severe Side Effects,5
69,Mild Side Effects,5
21,Mild Side Effects,4
20,Severe Side Effects,1
5,No Side Effects,1
4,Moderate Side Effects,2
0,No Side Effects,5
35,Moderate Side Effects,4
15,No Side Effects,5
8,Moderate Side Effects,5
23,Moderate Side Effects,5
11,Moderate Side Effects,1
5,Mild Side Effects,3
36,Mild Side Effects,4
20,Mild Side Effects,1
8,Moderate Side Effects,5
6,Severe Side Effects,1
3,Moderate Side Effects,1
7,Mild Side Effects,1
117,No Side Effects,5
90,Mild Side Effects,5
24,Moderate Side Effects,5
2,Severe Side Effects,3
27,No Side Effects,5
2,No Side Effects,5
23,Mild Side Effects,2
32,Moderate Side Effects,5
0,Mild Side Effects,5
15,Extremely Severe Side Effects,5
1,Mild Side Effects,1
9,No Side Effects,5
30,Severe Side Effects,5
18,Severe Side Effects,3
5,Mild Side Effects,3
10,Mild Side Effects,2
12,Mild Side Effects,5
1,No Side Effects,3
3,Extremely Severe Side Effects,5
28,No Side Effects,5
27,Severe Side Effects,3
0,No Side Effects,4
23,Mild Side Effects,4
12,Moderate Side Effects,5
38,No Side Effects,3
41,Moderate Side Effects,3
3,Moderate Side Effects,2
124,No Side Effects,5
8,Mild Side Effects,4
12,Mild Side Effects,5
38,No Side Effects,1
41,Mild Side Effects,5
80,Severe Side Effects,5
2,No Side Effects,1
3,Moderate Side Effects,1
35,Mild Side Effects,1
26,Mild Side Effects,3
114,Mild Side Effects,5
51,Moderate Side Effects,3
6,Mild Side Effects,5
156,Extremely Severe Side Effects,5
19,Severe Side Effects,3
63,Extremely Severe Side Effects,5
118,No Side Effects,5
11,Mild Side Effects,1
31,No Side Effects,5
56,Moderate Side Effects,5
23,Extremely Severe Side Effects,3
40,Moderate Side Effects,5
3,Mild Side Effects,4
20,Moderate Side Effects,5
8,Mild Side Effects,5
3,Moderate Side Effects,1
26,No Side Effects,5
5,No Side Effects,1
17,No Side Effects,1
8,No Side Effects,4
13,Moderate Side Effects,5
21,Severe Side Effects,5
59,No Side Effects,4
9,Moderate Side Effects,5
0,Mild Side Effects,1
62,Severe Side Effects,5
17,Mild Side Effects,5
6,Mild Side Effects,3
9,Mild Side Effects,5
56,Mild Side Effects,5
86,Extremely Severe Side Effects,4
7,Mild Side Effects,2
2,Moderate Side Effects,2
2,Mild Side Effects,5
20,Extremely Severe Side Effects,3
0,Mild Side Effects,5
32,Moderate Side Effects,5
51,Severe Side Effects,5
32,Mild Side Effects,4
21,Moderate Side Effects,2
3,Severe Side Effects,2
159,Mild Side Effects,5
24,Mild Side Effects,5
6,Mild Side Effects,1
110,Moderate Side Effects,5
9,No Side Effects,4
18,Moderate Side Effects,2
11,No Side Effects,5
3,Severe Side Effects,1
72,Extremely Severe Side Effects,5
69,Moderate Side Effects,4
14,Mild Side Effects,1
32,No Side Effects,1
13,Moderate Side Effects,5
33,Mild Side Effects,1
4,No Side Effects,1
2,Severe Side Effects,1
7,Mild Side Effects,5
10,Severe Side Effects,4
1,Moderate Side Effects,1
8,Mild Side Effects,5
44,Moderate Side Effects,5
52,No Side Effects,5
17,Moderate Side Effects,5
26,Extremely Severe Side Effects,1
91,No Side Effects,5
65,Severe Side Effects,5
0,Mild Side Effects,5
11,No Side Effects,5
116,No Side Effects,5
32,Extremely Severe Side Effects,5
8,Mild Side Effects,2
27,No Side Effects,2
70,Mild Side Effects,5
30,Mild Side Effects,5
82,Mild Side Effects,5
0,Mild Side Effects,5
3,No Side Effects,4
11,No Side Effects,2
8,Severe Side Effects,3
30,Mild Side Effects,5
61,Mild Side Effects,2
1,Severe Side Effects,5
19,Mild Side Effects,5
3,Moderate Side Effects,4
155,Mild Side Effects,4
76,No Side Effects,5
40,Severe Side Effects,4
26,Mild Side Effects,5
7,Mild Side Effects,2
18,Mild Side Effects,4
7,Mild Side Effects,2
2,Severe Side Effects,1
5,Severe Side Effects,5
10,Moderate Side Effects,5
8,No Side Effects,5
12,Moderate Side Effects,3
3,Extremely Severe Side Effects,4
5,Mild Side Effects,3
24,Moderate Side Effects,5
23,No Side Effects,5
9,Mild Side Effects,5
5,No Side Effects,5
18,Mild Side Effects,5
2,Moderate Side Effects,5
3,Severe Side Effects,5
59,No Side Effects,1
2,Mild Side Effects,5
33,Mild Side Effects,1
5,Moderate Side Effects,5
17,No Side Effects,4
5,No Side Effects,2
7,Mild Side Effects,3
12,No Side Effects,5
14,Extremely Severe Side Effects,1
6,Mild Side Effects,4
7,Severe Side Effects,4
37,No Side Effects,5
1,Severe Side Effects,5
47,No Side Effects,5
6,Extremely Severe Side Effects,3
122,No Side Effects,5
9,Moderate Side Effects,5
22,Mild Side Effects,1
35,No Side Effects,2
14,Moderate Side Effects,5
27,No Side Effects,2
11,Severe Side Effects,4
11,No Side Effects,1
21,Moderate Side Effects,3
7,Mild Side Effects,2
384,Moderate Side Effects,5
24,Mild Side Effects,5
5,No Side Effects,1
18,Extremely Severe Side Effects,1
55,Severe Side Effects,5
0,Mild Side Effects,5
7,Extremely Severe Side Effects,5
5,Extremely Severe Side Effects,1
11,Extremely Severe Side Effects,2
33,Mild Side Effects,5
130,Mild Side Effects,5
28,Mild Side Effects,5
3,Severe Side Effects,5
14,Mild Side Effects,5
19,Mild Side Effects,2
1,Moderate Side Effects,5
69,No Side Effects,4
28,Moderate Side Effects,5
48,Moderate Side Effects,5
41,No Side Effects,5
92,Moderate Side Effects,5
36,Severe Side Effects,5
39,Mild Side Effects,2
38,No Side Effects,3
2,No Side Effects,1
23,Severe Side Effects,4
18,Mild Side Effects,1
37,No Side Effects,5
16,Mild Side Effects,1
7,No Side Effects,5
19,Moderate Side Effects,1
8,Extremely Severe Side Effects,1
21,Moderate Side Effects,4
26,Extremely Severe Side Effects,4
44,Moderate Side Effects,5
10,Severe Side Effects,1
8,No Side Effects,5
21,No Side Effects,1
10,No Side Effects,2
7,Mild Side Effects,5
2,Mild Side Effects,2
3,Mild Side Effects,4
0,Moderate Side Effects,5
1,Moderate Side Effects,2
3,Moderate Side Effects,5
113,Moderate Side Effects,5
7,No Side Effects,4
15,No Side Effects,1
20,No Side Effects,5
38,Extremely Severe Side Effects,1
2,Extremely Severe Side Effects,5
4,Mild Side Effects,1
10,Severe Side Effects,1
86,Moderate Side Effects,5
6,No Side Effects,5
9,Mild Side Effects,1
16,Moderate Side Effects,4
18,Moderate Side Effects,5
146,Severe Side Effects,5
18,Severe Side Effects,5
11,No Side Effects,4
73,Mild Side Effects,4
77,Moderate Side Effects,5
14,No Side Effects,4
1,Mild Side Effects,4
24,No Side Effects,3
7,Mild Side Effects,2
13,Severe Side Effects,5
2,No Side Effects,4
12,No Side Effects,5
13,No Side Effects,5
0,Moderate Side Effects,5
0,No Side Effects,4
8,Mild Side Effects,5
